id,zap_id,url,type,price,min_price,max_price,min_area,max_area,address,district,city,state,created_at,updated_at,quant_quartos,quant_vagas,quant_suites,latitude,longitude,latitude_formatada,longitude_formatada
85107,7787124,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+192m2+RS1900000/ID-7787124/?paginaoferta=14341,Apartamento,1900000.00,0.00,0.00,192,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 00:02:19","2016-12-11 00:02:19",4,3,3,-23.6016965,-46.6673513,0.62387015686,0.34351114698
86163,3093970,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+172m2+RS2650000/ID-3093970/?paginaoferta=14526,Apartamento,2650000.00,0.00,0.00,172,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 00:08:03","2016-12-11 00:08:03",2,3,2,-23.6016965,-46.6673513,0.62387015686,0.34351114698
86820,4865544,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+135m2+RS1200000/ID-4865544/?paginaoferta=14637,Apartamento,1200000.00,0.00,0.00,135,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 00:11:39","2016-12-11 00:11:39",3,2,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
90339,12148244,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+75m2+RS650000/ID-12148244/?paginaoferta=15242,Apartamento,650000.00,0.00,0.00,75,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 00:30:56","2016-12-11 00:30:56",2,1,0,-23.6016965,-46.6673513,0.62387015686,0.34351114698
94411,11455331,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+115m2+RS1070000/ID-11455331/?paginaoferta=15953,Apartamento,1070000.00,0.00,0.00,115,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 00:53:33","2016-12-11 00:53:33",3,2,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
105910,12122979,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+70m2+RS750000/ID-12122979/?paginaoferta=17935,Apartamento,750000.00,0.00,0.00,70,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 01:58:35","2016-12-11 01:58:35",2,1,0,-23.6016965,-46.6673513,0.62387015686,0.34351114698
109431,11506793,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+145m2+RS1350000/ID-11506793/?paginaoferta=18547,Apartamento,1350000.00,0.00,0.00,145,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 02:18:14","2016-12-11 02:18:14",3,2,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
113115,6988910,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+200m2+RS2140000/ID-6988910/?paginaoferta=19180,Apartamento,2140000.00,0.00,0.00,200,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 02:39:44","2016-12-11 02:39:44",4,2,2,-23.6016965,-46.6673513,0.62387015686,0.34351114698
113249,7283646,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+200m2+RS2100000/ID-7283646/?paginaoferta=19203,Apartamento,2100000.00,0.00,0.00,200,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 02:40:35","2016-12-11 02:40:35",3,2,3,-23.6016965,-46.6673513,0.62387015686,0.34351114698
115675,11043523,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+82m2+RS900000/ID-11043523/?paginaoferta=19660,Apartamento,900000.00,0.00,0.00,82,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 02:57:59","2016-12-11 02:57:59",3,0,0,-23.6016965,-46.6673513,0.62387015686,0.34351114698
117974,10066624,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+130m2+RS960000/ID-10066624/?paginaoferta=20065,Apartamento,960000.00,0.00,0.00,130,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 03:12:41","2016-12-11 03:12:41",2,2,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
119507,7282359,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+144m2+RS1650000/ID-7282359/?paginaoferta=20330,Apartamento,1650000.00,0.00,0.00,144,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 03:19:44","2016-12-11 03:19:44",4,2,2,-23.6016965,-46.6673513,0.62387015686,0.34351114698
128600,10724810,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+150m2+RS1060000/ID-10724810/?paginaoferta=21896,Apartamento,1060000.00,0.00,0.00,150,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 04:01:00","2016-12-11 04:01:00",2,2,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
129298,5809653,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+160m2+RS1850000/ID-5809653/?paginaoferta=22017,Apartamento,1850000.00,0.00,0.00,160,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 04:04:10","2016-12-11 04:04:10",2,3,2,-23.6016965,-46.6673513,0.62387015686,0.34351114698
130520,11165163,http://www.zapimoveis.com.br/oferta/venda+apartamento+1-quarto+moema+zona-sul+sao-paulo+sp+50m2+RS530000/ID-11165163/?paginaoferta=22240,Apartamento,530000.00,0.00,0.00,50,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 04:09:45","2016-12-11 04:09:45",1,1,0,-23.6016965,-46.6673513,0.62387015686,0.34351114698
131540,10595374,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+72m2+RS700000/ID-10595374/?paginaoferta=22409,Apartamento,700000.00,0.00,0.00,72,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 04:14:31","2016-12-11 04:14:31",2,1,0,-23.6016965,-46.6673513,0.62387015686,0.34351114698
132745,11705495,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+699m2+RS27000000/ID-11705495/?paginaoferta=22614,Apartamento,27000000.00,0.00,0.00,699,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 04:19:57","2016-12-11 04:19:57",3,8,3,-23.6016965,-46.6673513,0.62387015686,0.34351114698
139649,10199748,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+97m2+RS1350000/ID-10199748/?paginaoferta=23809,Apartamento,1350000.00,0.00,0.00,97,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 04:51:49","2016-12-11 04:51:49",3,2,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
144766,11786606,http://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+moema+zona-sul+sao-paulo+sp+97m2+RS1170000/ID-11786606/?paginaoferta=24689,Apartamento,1170000.00,0.00,0.00,97,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 05:15:05","2016-12-11 05:15:05",3,1,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
146284,12180689,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+192m2+RS2400000/ID-12180689/?paginaoferta=24955,Apartamento,2400000.00,0.00,0.00,192,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 05:22:08","2016-12-11 05:22:08",4,3,2,-23.6016965,-46.6673513,0.62387015686,0.34351114698
149992,10672362,http://www.zapimoveis.com.br/oferta/venda+apartamento+5-quartos+moema+zona-sul+sao-paulo+sp+468m2+RS10300000/ID-10672362/?paginaoferta=25592,Apartamento,10300000.00,0.00,0.00,468,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 05:39:32","2016-12-11 05:39:32",5,6,5,-23.6016965,-46.6673513,0.62387015686,0.34351114698
154361,11442699,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+226m2+RS4100000/ID-11442699/?paginaoferta=26355,Apartamento,4100000.00,0.00,0.00,226,0,"Rua Canario",MOEMA,"Sao Paulo",SP,"2016-12-11 06:00:27","2016-12-11 06:00:27",4,4,4,-23.6016965,-46.6673513,0.62387015686,0.34351114698
155249,11211131,http://www.zapimoveis.com.br/oferta/venda+apartamento+5-quartos+moema+zona-sul+sao-paulo+sp+468m2+RS12720000/ID-11211131/?paginaoferta=26501,Apartamento,12720000.00,0.00,0.00,468,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 06:04:22","2016-12-11 06:04:22",5,6,5,-23.6016965,-46.6673513,0.62387015686,0.34351114698
155824,11003009,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+160m2+RS1850000/ID-11003009/?paginaoferta=26600,Apartamento,1850000.00,0.00,0.00,160,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 06:06:50","2016-12-11 06:06:50",2,3,1,-23.6016965,-46.6673513,0.62387015686,0.34351114698
158849,11973464,http://www.zapimoveis.com.br/oferta/venda+apartamento+4-quartos+moema+zona-sul+sao-paulo+sp+407m2+RS12770000/ID-11973464/?paginaoferta=27126,Apartamento,12770000.00,0.00,0.00,407,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 06:20:23","2016-12-11 06:20:23",4,5,4,-23.6016965,-46.6673513,0.62387015686,0.34351114698
159147,11328939,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+100m2+RS800000/ID-11328939/?paginaoferta=27182,Apartamento,800000.00,0.00,0.00,100,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 06:21:43","2016-12-11 06:21:43",2,1,2,-23.6016965,-46.6673513,0.62387015686,0.34351114698
159357,12111102,http://www.zapimoveis.com.br/oferta/venda+apartamento+2-quartos+moema+zona-sul+sao-paulo+sp+60m2+RS580000/ID-12111102/?paginaoferta=27214,Apartamento,580000.00,0.00,0.00,60,0,"Rua Canário",MOEMA,"Sao Paulo",SP,"2016-12-11 06:22:45","2016-12-11 06:22:45",2,1,0,-23.6016965,-46.6673513,0.62387015686,0.34351114698
